3.354981696758996268e-01;1.476855782067073575e-01;6.263600305980976390e-02;2.419017042014848240e-01;4.322814811812986102e-01;5.219962736299824657e-01;7.730835540548716134e-01;9.587409230565929752e-01;1.173204803848110211e-01;1.070041401937915637e-01
5.896947230135507478e-01;7.453980739472929606e-01;8.481503803469848668e-01;9.358320802167885422e-01;9.834262422606420140e-01;3.998016922245258842e-01;3.803351835275731174e-01;1.478086766972723787e-01;6.849344386835594101e-01;6.567619584408370681e-01
8.620625958512072584e-01;9.725799478764063366e-02;4.977769078253417856e-01;5.810819296720630689e-01;2.415570400399184026e-01;1.690254061291612819e-01;8.595808364196214635e-01;5.853492223555878393e-02;4.706209039180728748e-01;1.158340013008852809e-01
4.570587613313673581e-01;9.799623263423092867e-01;4.237063534554728061e-01;8.571249175045673185e-01;1.173155641831938878e-01;2.712520767618641360e-01;4.037927406673345043e-01;3.998121400093307409e-01;6.713834786701531332e-01;3.447181273755076658e-01
7.137668684100163530e-01;6.391868992253925130e-01;3.991611452547730865e-01;4.317601276543192590e-01;6.145276998103207378e-01;7.004219014464463378e-02;8.224067383556903366e-01;6.534211611136369058e-01;7.263424644178352318e-01;5.369230010823904387e-01
1.104771109917447314e-01;4.050356132969499257e-01;4.053735828485560688e-01;3.210429900432169026e-01;2.995032490474935916e-02;7.372542425964773161e-01;1.097844580625007005e-01;6.063081330450851292e-01;7.032174964672157635e-01;6.347863229336947466e-01
9.591422519779749800e-01;1.032981550851386210e-01;8.671671591051991479e-01;2.919023484891325460e-02;5.349168549270839623e-01;4.042436179392587814e-01;5.241838603937581942e-01;3.650998770600097920e-01;1.905669149400680551e-01;1.912289744868977959e-02
5.181498137911743074e-01;8.427768626848423095e-01;3.732159557447941589e-01;2.228638180149802306e-01;8.053200347184408248e-02;8.531092311870336342e-02;2.213964462927722199e-01;1.000140609215551812e-01;2.650396983644820459e-01;6.614946211695471590e-02
6.560486720992564358e-02;8.562761796227819078e-01;1.621202607088332304e-01;5.596824058234479704e-01;7.734555444490305298e-01;4.564095653390666252e-01;1.533688778593457203e-01;1.995961421201143393e-01;4.329842062811807279e-01;5.282340891785357595e-01
3.494402920485348840e-01;7.814796002346613424e-01;7.510216488563984383e-01;9.272118073731179244e-01;2.895254902696053900e-02;8.956912912102034108e-01;3.925687884621510415e-01;8.783724953799940671e-01;6.907847761565295563e-01;9.873487570739681862e-01
